LICEO ARKADIA COLOMBIA;Barrios Unidos;A;NO OFICIAL;57;53;53;53;56;271;;
INST DE EDUC ELEMENTAL PREESCOLAR Y SECUNDARIA  INELPRES                                            ;Puente Aranda;A;NO OFICIAL;60;60;57;54;62;290;;
COLEGIO ALEJANDRO MAGNO - SEDE PRINCIPAL;La Candelaria;A;NO OFICIAL;46;47;46;42;41;225;;
COLEGIO SAN CAYETANO (IED);Bosa;A;OFICIAL;52;50;46;47;47;243;;
FUND INST TECNOLOGICO DEL SUR                                                                       ;Tunjuelito;A;NO OFICIAL;60;58;56;57;60;290;;
COLEGIO FILARMONICO JORGE MARIO BERGOGLIO (IED) - SEDE PRINCIPAL;Kennedy;A;OFICIAL;57;54;52;52;56;270;;
COL TRIANGULO PALOQUEMAO                                                                            ;Puente Aranda;A;NO OFICIAL;48;45;43;42;47;223;;
COL DIST U.B. RAFAEL URIBE URIBE;Tunjuelito;A;OFICIAL;56;56;49;50;53;264;;
CENT EDUC DIST RURAL ADELINA GUTIERREZ PALACIOS;San Cristobal;A;OFICIAL;47;43;42;41;44;217;;
COLEGIO HUMANISTA ALEXANDRE PETION - SEDE PRINCIPAL;Tunjuelito;A;NO OFICIAL;47;42;36;41;43;208;;
COL NAL RESTREPO MILLAN;Kennedy;A;OFICIAL;54;52;49;49;52;255;;
COLEGIO HUMANISTA ALEXANDRE PETION - SEDE PRINCIPAL;Usme;A;NO OFICIAL;46;44;41;44;44;219;;
COLEGIO INNOVAR - SEDE PRINCIPAL;Kennedy;A;NO OFICIAL;50;48;42;44;48;231;;
COLEGIO CIUDAD DE TECHO I (IED) - SEDE PRINCIPAL;Engativá;A;OFICIAL;60;54;51;52;60;273;;
COL DIST REP DE COLOMBIA;Teusaquillo;A;OFICIAL;56;53;51;51;53;264;;
LIC NSTRA SRA DE LAS NIEVES                                                                         ;Usaquén;A;NO OFICIAL;61;59;55;55;57;287;;
QUALIA ALTERNATIVA EDUCATIVA - SEDE PRINCIPAL;Fontibón;O;NO OFICIAL;62;50;55;54;77;285;;
COL DIST TEC MENORAH;Bosa;A;OFICIAL;58;54;52;51;55;269;;
CENT EDUC DIST ISLA DEL SOL;Ciudad Bolívar;A;OFICIAL;56;53;50;50;49;260;;
OFELIA URIBE DE ACOSTA;Usaquén;A;OFICIAL;52;50;47;49;47;247;;
CENT EDUC DIST CONFEDERACION SUIZA;Tunjuelito;A;OFICIAL;48;47;43;45;43;228;;
CENT EDUC DIST MANUELA AYALA DE GAITAN;Santa Fe;A;OFICIAL;56;54;52;50;53;265;;
CENT EDUC DIST RAMON DE ZUBIRIA;Teusaquillo;A;OFICIAL;49;46;44;46;47;232;;
COLEGIO ALVERNIA BILINGÜE;Barrios Unidos;A;NO OFICIAL;67;67;66;64;76;334;;
LIC FORMACION EDUC PERSONALIZADA                                                                    ;Usme;A;NO OFICIAL;57;55;54;52;64;276;;
COL DIST LA ESTANCIA;Tunjuelito;A;OFICIAL;50;48;43;46;46;233;;
CENT EDUC DIST SIERRA MORENA;Teusaquillo;A;OFICIAL;50;48;43;45;44;232;;
CENT EDUC DIST SIERRA MORENA;Sumapaz;A;OFICIAL;49;47;42;45;44;228;;
NESTOR FORERO ALCALA;Kennedy;A;OFICIAL;50;50;45;48;48;241;;
CENT EDUC DIST LA CONCORDIA;Kennedy;A;OFICIAL;47;42;42;44;42;218;;
